postalcode,group,region,state,lat,lon,quantity
02138,NE2,East,Massachusetts,42.3796,-71.135,19
02038,NE2,East,Massachusetts,42.0854,-71.4098,60
01915,NE2,East,Massachusetts,42.5691,-70.8602,15
01852,NE2,East,Massachusetts,42.632,-71.2952,60
01841,NE2,East,Massachusetts,42.7168,-71.1607,114
01810,NE2,East,Massachusetts,42.6463,-71.1649,13
01752,NE2,East,Massachusetts,42.3493,-71.5475,6
01453,NE2,East,Massachusetts,42.5192,-71.7664,20
01040,NE2,East,Massachusetts,42.213,-72.6406,2
98661,WE1,West,Washington,45.6393,-122.6257,15
98632,WE1,West,Washington,46.2397,-123.088,10
98502,WE1,West,Washington,47.074,-123.0599,15
98270,WE1,West,Washington,48.0572,-122.1452,15
98226,WE1,West,Washington,48.8041,-122.3527,24
98208,WE1,West,Washington,47.9012,-122.1951,1
98198,WE1,West,Washington,47.3958,-122.3107,17
98115,WE1,West,Washington,47.6843,-122.2804,426
98105,WE1,West,Washington,47.6581,-122.2699,625
98103,WE1,West,Washington,47.6728,-122.3426,539
98059,WE1,West,Washington,47.4965,-122.1233,14
98052,WE1,West,Washington,47.6802,-122.1204,10
98042,WE1,West,Washington,47.3656,-122.1163,20
98031,WE1,West,Washington,47.4072,-122.1967,28
98026,WE1,West,Washington,47.8654,-122.3097,42
98006,WE1,West,Washington,47.5598,-122.1447,18
98002,WE1,West,Washington,47.309,-122.2164,1
97756,WE1,West,Oregon,44.2752,-121.2545,42
97504,WE1,West,Oregon,42.3328,-122.8002,10
97477,WE1,West,Oregon,44.061,-123.0117,163
97405,WE1,West,Oregon,43.9882,-123.1427,23
97301,WE1,West,Oregon,44.9493,-123.0052,101
97224,WE1,West,Oregon,45.4068,-122.7977,26
97206,WE1,West,Oregon,45.4814,-122.5988,92
97123,WE1,West,Oregon,45.406,-122.9896,14
97030,WE1,West,Oregon,45.5079,-122.4304,28
96003,WE2,West,California,40.6764,-122.303,3
95928,WE2,West,California,39.684,-121.8349,43
95823,WE2,West,California,38.4751,-121.4432,36
95695,WE2,West,California,38.712,-121.8613,7
95687,WE2,West,California,38.3355,-121.9175,11
95661,WE2,West,California,38.7411,-121.2488,55
95616,WE2,West,California,38.5517,-121.7949,5
95610,WE2,West,California,38.695,-121.272,3
95351,WE2,West,California,37.6244,-121.0091,10
95336,WE2,West,California,37.8317,-121.1945,8
95240,WE2,West,California,38.1173,-121.1288,9
95207,WE2,West,California,38.0023,-121.325,34
95123,WE2,West,California,37.2425,-121.8331,159
95051,WE2,West,California,37.3484,-121.9842,23
95037,WE2,West,California,37.1254,-121.6635,16
94601,WE2,West,California,37.7769,-122.2179,107
94591,WE2,West,California,38.133,-122.1952,22
94568,WE2,West,California,37.7168,-121.8992,5
94533,WE2,West,California,38.2821,-122.0125,30
94526,WE2,West,California,37.8143,-121.9895,31
94521,WE2,West,California,37.9545,-121.9674,26
94513,WE2,West,California,37.8974,-121.6961,66
94509,WE2,West,California,37.9903,-121.8248,3
94403,WE2,West,California,37.5391,-122.3043,6
94122,WE2,West,California,37.7603,-122.4853,802
94110,WE2,West,California,37.7497,-122.4154,618
94109,WE2,West,California,37.7931,-122.4212,515
94086,WE2,West,California,37.3716,-122.0231,23
94061,WE2,West,California,37.4612,-122.2364,6
93905,WE2,West,California,36.6812,-121.6074,39
93727,WE2,West,California,36.7508,-119.697,106
93534,WE2,West,California,34.716,-118.1505,15
93454,WE2,West,California,34.9286,-120.1485,3
93405,WE2,West,California,35.3028,-120.727,2
93309,WE2,West,California,35.344,-119.0651,47
93277,WE2,West,California,36.2996,-119.3779,20
93101,WE2,West,California,34.4232,-119.7067,30
93030,WE2,West,California,34.2053,-119.1709,31
93010,WE2,West,California,34.2326,-119.0708,16
92804,WE2,West,California,33.8164,-117.961,112
92704,WE2,West,California,33.716,-117.9031,55
92691,WE2,West,California,33.6112,-117.6664,18
92683,WE2,West,California,33.753,-118.0049,50
92677,WE2,West,California,33.5283,-117.7053,15
92672,WE2,West,California,33.4291,-117.6096,10
92646,WE2,West,California,33.6651,-117.9679,19
92630,WE2,West,California,33.6463,-117.6857,17
92627,WE2,West,California,33.6417,-117.9167,42
92592,WE2,West,California,33.4791,-117.0587,14
92563,WE2,West,California,33.5843,-117.1458,3
92553,WE2,West,California,33.9225,-117.244,42
92530,WE2,West,California,33.6082,-117.3961,5
92503,WE2,West,California,33.888,-117.4475,40
92404,WE2,West,California,34.1826,-117.2477,33
92399,WE2,West,California,34.044,-116.9879,5
92374,WE2,West,California,34.0703,-117.1671,61
92345,WE2,West,California,34.3578,-117.3076,18
92307,WE2,West,California,34.5872,-117.1523,27
92253,WE2,West,California,33.6493,-116.2919,4
92236,WE2,West,California,33.6903,-116.1627,3
92105,WE2,West,California,32.7415,-117.0917,292
92054,WE2,West,California,33.1935,-117.3556,25
92037,WE2,West,California,32.8409,-117.2516,253
92025,WE2,West,California,33.0823,-117.0335,9
92024,WE2,West,California,33.0422,-117.2509,138
92020,WE2,West,California,32.796,-116.9706,6
91941,WE2,West,California,32.7669,-116.9966,8
91911,WE2,West,California,32.6028,-117.0334,13
91776,WE2,West,California,34.09,-118.0956,13
91767,WE2,West,California,34.0815,-117.7387,34
91761,WE2,West,California,34.0349,-117.592,5
91730,WE2,West,California,34.0999,-117.5803,14
91505,WE2,West,California,34.1747,-118.3465,13
91360,WE2,West,California,34.2144,-118.8737,20
91104,WE2,West,California,34.1679,-118.1235,97
90805,WE2,West,California,33.8651,-118.1804,114
90712,WE2,West,California,33.8379,-118.157,35
90660,WE2,West,California,33.9905,-118.0893,5
90640,WE2,West,California,34.0141,-118.1113,2
90604,WE2,West,California,33.9325,-118.0254,4
90503,WE2,West,California,33.8412,-118.3528,16
90301,WE2,West,California,33.9557,-118.3568,53
90278,WE2,West,California,33.8734,-118.3704,35
90049,WE2,West,California,34.0925,-118.4924,580
90045,WE2,West,California,33.9562,-118.4019,506
90036,WE2,West,California,34.0702,-118.3499,468
90032,WE2,West,California,34.0802,-118.1784,438
90008,WE2,West,California,34.0095,-118.3489,427
90004,WE2,West,California,34.076,-118.3115,460
89502,WE2,West,Nevada,39.4949,-119.7499,17
89431,WE2,West,Nevada,39.5447,-119.7553,19
89115,WE4,West,Nevada,36.329,-114.9479,61
89031,WE4,West,Nevada,36.2586,-115.1713,58
89015,WE4,West,Nevada,36.0522,-114.9338,13
86442,WE4,West,Arizona,35.0896,-114.5326,3
85705,WE4,West,Arizona,32.271,-110.9917,145
85635,WE4,West,Arizona,31.5967,-110.1712,9
85364,WE4,West,Arizona,32.7003,-114.674,22
85345,WE4,West,Arizona,33.5712,-112.2467,57
85323,WE4,West,Arizona,33.439,-112.3148,30
85301,WE4,West,Arizona,33.5318,-112.178,67
85281,WE4,West,Arizona,33.4287,-111.9534,41
85254,WE4,West,Arizona,33.6158,-111.9523,55
85234,WE4,West,Arizona,33.3646,-111.7396,58
85224,WE4,West,Arizona,33.3234,-111.8763,23
85204,WE4,West,Arizona,33.3968,-111.7875,128
85023,WE4,West,Arizona,33.6314,-112.0948,224
88220,CE3,West,New Mexico,32.266,-104.5695,35
88101,CE3,West,New Mexico,34.5031,-103.2584,10
88001,CE3,West,New Mexico,32.2951,-106.7554,9
87505,CE3,West,New Mexico,35.6204,-105.8841,14
87401,CE3,West,New Mexico,36.7995,-108.2383,11
87124,CE3,West,New Mexico,35.2506,-106.7633,7
87105,CE3,West,New Mexico,34.9385,-106.6434,65
79907,CE3,Central,Texas,31.7069,-106.326,65
79762,CE3,Central,Texas,31.8994,-102.34,22
79605,CE3,Central,Texas,32.4312,-99.7718,2
79424,CE3,Central,Texas,33.4733,-101.9391,22
79109,CE3,Central,Texas,35.1666,-101.8858,32
76903,CE3,Central,Texas,31.4846,-100.4388,13
78745,CE4,Central,Texas,30.2068,-97.7981,131
78666,CE4,Central,Texas,29.882,-97.9742,12
78664,CE4,Central,Texas,30.4896,-97.6389,23
78577,CE4,Central,Texas,26.1517,-98.1937,22
78550,CE4,Central,Texas,26.2562,-97.6662,21
78539,CE4,Central,Texas,26.2793,-98.1821,11
78521,CE4,Central,Texas,25.8901,-97.4149,27
78501,CE4,Central,Texas,26.2157,-98.239,54
78415,CE4,Central,Texas,27.6477,-97.4878,33
78207,CE4,Central,Texas,29.4223,-98.5254,247
78041,CE4,Central,Texas,27.6858,-99.2514,37
77840,CE4,Central,Texas,30.6121,-96.3234,19
77803,CE4,Central,Texas,30.6817,-96.3665,27
77705,CE4,Central,Texas,29.8396,-94.1801,21
77642,CE4,Central,Texas,29.9134,-93.9254,12
77590,CE4,Central,Texas,29.401,-94.9208,7
77581,CE4,Central,Texas,29.5784,-95.2886,13
77573,CE4,Central,Texas,29.4977,-95.0939,25
77571,CE4,Central,Texas,29.6823,-95.0524,6
77536,CE4,Central,Texas,29.7008,-95.1169,6
77520,CE4,Central,Texas,29.7331,-94.9944,2
77506,CE4,Central,Texas,29.7133,-95.1996,59
77489,CE4,Central,Texas,29.5943,-95.5157,7
77340,CE4,Central,Texas,30.6436,-95.5465,121
77301,CE4,Central,Texas,30.3105,-95.4317,9
77095,CE4,Central,Texas,29.9073,-95.6548,381
77070,CE4,Central,Texas,29.9786,-95.5737,370
77041,CE4,Central,Texas,29.8606,-95.5812,443
77036,CE4,Central,Texas,29.7013,-95.5365,272
76706,CE4,Central,Texas,31.4902,-97.0985,17
76248,CE4,Central,Texas,32.9269,-97.2299,2
76117,CE4,Central,Texas,32.8029,-97.2675,13
76106,CE4,Central,Texas,32.8144,-97.3525,102
76063,CE4,Central,Texas,32.5701,-97.1423,13
76051,CE4,Central,Texas,32.9406,-97.0782,12
76021,CE4,Central,Texas,32.8524,-97.1315,25
76017,CE4,Central,Texas,32.6624,-97.1624,131
75701,CE4,Central,Texas,32.3228,-95.2994,16
75220,CE4,Central,Texas,32.8677,-96.8772,172
75217,CE4,Central,Texas,32.7124,-96.6805,200
75150,CE4,Central,Texas,32.8156,-96.6307,14
75104,CE4,Central,Texas,32.5835,-96.9699,6
75081,CE4,Central,Texas,32.9489,-96.7104,183
75080,CE4,Central,Texas,32.9746,-96.7414,12
75061,CE4,Central,Texas,32.826,-96.9639,23
75056,CE4,Central,Texas,33.0744,-96.909,14
75051,CE4,Central,Texas,32.7268,-96.9986,45
75043,CE4,Central,Texas,32.8579,-96.5855,12
75034,CE4,Central,Texas,33.1268,-96.8756,10
75023,CE4,Central,Texas,33.0568,-96.7329,48
75019,CE4,Central,Texas,32.962,-96.9848,17
75007,CE4,Central,Texas,33.0035,-96.9011,50
75002,CE4,Central,Texas,33.0895,-96.6054,13
74403,CE2,Central,Oklahoma,35.7021,-95.3289,14
74133,CE2,Central,Oklahoma,36.0422,-95.8799,107
74012,CE2,Central,Oklahoma,36.0536,-95.8056,17
73505,CE2,Central,Oklahoma,34.5907,-98.4869,13
73120,CE2,Central,Oklahoma,35.5812,-97.5726,78
73071,CE2,Central,Oklahoma,35.2414,-97.414,9
73034,CE2,Central,Oklahoma,35.7021,-97.4288,9
72762,CE2,South,Arkansas,36.1869,-94.2311,2
72756,CE2,South,Arkansas,36.2797,-93.9853,9
72701,CE2,South,Arkansas,36.0317,-94.096,51
99301,WE3,West,Washington,46.512,-118.7338,27
99207,WE3,West,Washington,47.689,-117.3852,36
84604,WE3,West,Utah,40.3308,-111.5753,38
84321,WE3,West,Utah,41.7032,-111.5439,21
84107,WE3,West,Utah,40.6581,-111.8845,15
84106,WE3,West,Utah,40.7064,-111.8557,42
84084,WE3,West,Utah,40.6213,-111.9648,16
84062,WE3,West,Utah,40.3836,-111.7322,30
84057,WE3,West,Utah,40.3145,-111.7124,32
84043,WE3,West,Utah,40.4026,-111.8723,8
84041,WE3,West,Utah,41.0758,-111.973,4
84020,WE3,West,Utah,40.4993,-111.8596,13
83704,WE3,West,Idaho,43.6276,-116.287,9
83642,WE3,West,Idaho,43.5725,-116.3999,11
83605,WE3,West,Idaho,43.6642,-116.6478,11
83501,WE3,West,Idaho,46.2845,-116.9158,1
83301,WE3,West,Idaho,42.1235,-114.4113,7
83201,WE3,West,Idaho,42.8916,-112.37,25
59801,WE3,West,Montana,46.8558,-114.0113,2
59715,WE3,West,Montana,45.7029,-110.919,5
59601,WE3,West,Montana,46.547,-112.178,17
59405,WE3,West,Montana,47.2072,-111.3624,30
59102,WE3,West,Montana,45.7755,-108.5805,2
82001,CE1,West,Wyoming,41.0978,-104.9051,4
81001,CE1,West,Colorado,38.4452,-104.3078,42
80906,CE1,West,Colorado,38.7713,-104.8933,110
80634,CE1,West,Colorado,40.3994,-104.7935,5
80538,CE1,West,Colorado,40.4597,-105.1797,8
80525,CE1,West,Colorado,40.5474,-105.0188,20
80501,CE1,West,Colorado,40.1657,-105.1044,10
80229,CE1,West,Colorado,39.8531,-104.9601,47
80219,CE1,West,Colorado,39.6948,-105.0347,164
80134,CE1,West,Colorado,39.4783,-104.7667,24
80122,CE1,West,Colorado,39.5808,-104.9555,1
80112,CE1,West,Colorado,39.5731,-104.8574,6
80027,CE1,West,Colorado,39.9517,-105.1604,90
80022,CE1,West,Colorado,39.8689,-104.7994,3
80020,CE1,West,Colorado,39.9297,-105.074,23
80013,CE1,West,Colorado,39.6595,-104.7734,130
80004,CE1,West,Colorado,39.8145,-105.123,10
68801,CE1,Central,Nebraska,40.9438,-98.2961,2
68701,CE1,Central,Nebraska,42.0117,-97.4387,3
68104,CE1,Central,Nebraska,41.2951,-96.0016,98
68025,CE1,Central,Nebraska,41.4364,-96.4972,33
67846,CE1,Central,Kansas,37.9877,-100.7845,8
67212,CE1,Central,Kansas,37.7028,-97.4357,26
66502,CE1,Central,Kansas,39.1426,-96.5293,2
58103,CE1,Central,North Dakota,46.8563,-96.8227,30
57701,CE1,Central,South Dakota,44.1266,-103.201,4
57401,CE1,Central,South Dakota,45.4754,-98.5295,3
57103,CE1,Central,South Dakota,43.5353,-96.6852,35
56560,CE1,Central,Minnesota,46.835,-96.7353,9
56301,MW5,Central,Minnesota,45.497,-94.1711,13
55901,MW5,Central,Minnesota,44.0697,-92.508,50
55433,MW5,Central,Minnesota,45.1611,-93.316,7
55407,MW5,Central,Minnesota,44.9354,-93.2533,80
55369,MW5,Central,Minnesota,45.1278,-93.4444,13
55125,MW5,Central,Minnesota,44.9201,-92.9437,11
55124,MW5,Central,Minnesota,44.7456,-93.2007,5
55122,MW5,Central,Minnesota,44.8052,-93.1973,22
55113,MW5,Central,Minnesota,45.0134,-93.1564,20
55106,MW5,Central,Minnesota,44.958,-93.0474,11
55044,MW5,Central,Minnesota,44.637,-93.283,84
55016,MW5,Central,Minnesota,44.8194,-92.9292,6
54880,MW5,Central,Wisconsin,46.5986,-92.1256,37
54703,MW5,Central,Wisconsin,44.8337,-91.5227,21
54601,MW5,Central,Wisconsin,43.8036,-91.1439,22
54401,MW5,Central,Wisconsin,44.9702,-89.7078,14
66212,MW4,Central,Kansas,38.9561,-94.6816,23
66062,MW4,Central,Kansas,38.8381,-94.7884,15
65807,MW4,Central,Missouri,37.1664,-93.3234,151
65203,MW4,Central,Missouri,38.8951,-92.3996,38
65109,MW4,Central,Missouri,38.5817,-92.2271,2
64118,MW4,Central,Missouri,39.2132,-94.5748,5
64055,MW4,Central,Missouri,39.0569,-94.3941,6
63376,MW4,Central,Missouri,38.7911,-90.6244,4
63301,MW4,Central,Missouri,38.8533,-90.4837,13
63122,MW4,Central,Missouri,38.5792,-90.4203,7
63116,MW4,Central,Missouri,38.5804,-90.2647,26
62301,MW4,Central,Illinois,39.934,-91.39,40
52601,MW4,Central,Iowa,40.8464,-91.1206,9
52402,MW4,Central,Iowa,42.0234,-91.6592,3
52302,MW4,Central,Iowa,42.0675,-91.5716,22
52240,MW4,Central,Iowa,41.5919,-91.5417,1
50701,MW4,Central,Iowa,42.4149,-92.3652,4
50322,MW4,Central,Iowa,41.6342,-93.7365,12
50315,MW4,Central,Iowa,41.5438,-93.6198,43
61107,MW3,Central,Illinois,42.283,-89.0058,64
61032,MW3,Central,Illinois,42.3123,-89.6332,12
60653,MW3,Central,Illinois,41.8195,-87.6102,358
60623,MW3,Central,Illinois,41.8477,-87.718,385
60610,MW3,Central,Illinois,41.9046,-87.6361,389
60543,MW3,Central,Illinois,41.6629,-88.3204,13
60540,MW3,Central,Illinois,41.7635,-88.1444,33
60505,MW3,Central,Illinois,41.7649,-88.2953,128
60477,MW3,Central,Illinois,41.5687,-87.7825,7
60462,MW3,Central,Illinois,41.6245,-87.8332,5
60441,MW3,Central,Illinois,41.5942,-88.0479,2
60440,MW3,Central,Illinois,41.6997,-88.073,23
60423,MW3,Central,Illinois,41.4786,-87.8411,10
60302,MW3,Central,Illinois,41.8948,-87.7899,7
60201,MW3,Central,Illinois,42.0567,-87.6992,11
60188,MW3,Central,Illinois,41.9162,-88.1307,18
60174,MW3,Central,Illinois,41.9202,-88.2982,20
60126,MW3,Central,Illinois,41.8979,-87.9422,14
60098,MW3,Central,Illinois,42.3262,-88.4553,15
60090,MW3,Central,Illinois,42.1302,-87.9226,9
60089,MW3,Central,Illinois,42.1668,-87.9607,10
60076,MW3,Central,Illinois,42.034,-87.7294,44
60068,MW3,Central,Illinois,42.0067,-87.8432,17
60067,MW3,Central,Illinois,42.1084,-88.0666,7
60035,MW3,Central,Illinois,42.1779,-87.8079,28
60025,MW3,Central,Illinois,42.0661,-87.8221,3
60016,MW3,Central,Illinois,42.0494,-87.8901,24
60004,MW3,Central,Illinois,42.1116,-87.979,6
54915,MW3,Central,Wisconsin,44.2427,-88.3596,12
54302,MW3,Central,Wisconsin,44.5086,-87.9741,14
53711,MW3,Central,Wisconsin,43.0032,-89.4102,37
53214,MW3,Central,Wisconsin,43.0202,-88.0165,5
53209,MW3,Central,Wisconsin,43.129,-87.9473,201
53186,MW3,Central,Wisconsin,43.0222,-88.2049,5
53142,MW3,Central,Wisconsin,42.5234,-87.9802,37
53132,MW3,Central,Wisconsin,42.8856,-88.0106,48
53081,MW3,Central,Wisconsin,43.7118,-87.7374,10
52001,MW3,Central,Iowa,42.5497,-90.6924,18
46614,MW3,Central,Indiana,41.6029,-86.2789,25
46544,MW3,Central,Indiana,41.6167,-86.1371,11
46514,MW3,Central,Indiana,41.7233,-85.9736,7
46368,MW3,Central,Indiana,41.5863,-87.1789,2
46350,MW3,Central,Indiana,41.608,-86.7238,33
49505,MW2,Central,Michigan,42.9983,-85.6369,31
49423,MW2,Central,Michigan,42.7454,-86.0668,11
49201,MW2,Central,Michigan,42.1807,-84.2966,132
48911,MW2,Central,Michigan,42.68,-84.5978,25
48858,MW2,Central,Michigan,43.6145,-84.7958,2
48640,MW2,Central,Michigan,43.5861,-84.3386,39
48601,MW2,Central,Michigan,43.4078,-83.889,24
48310,MW2,Central,Michigan,42.5649,-83.0675,11
48307,MW2,Central,Michigan,42.659,-83.1231,4
48237,MW2,Central,Michigan,42.4649,-83.1821,5
48234,MW2,Central,Michigan,42.4368,-83.0439,127
48227,MW2,Central,Michigan,42.3875,-83.1927,193
48205,MW2,Central,Michigan,42.433,-82.9815,121
48187,MW2,Central,Michigan,42.3293,-83.4875,13
48185,MW2,Central,Michigan,42.3314,-83.4006,46
48183,MW2,Central,Michigan,42.1337,-83.221,54
48180,MW2,Central,Michigan,42.2258,-83.2687,7
48146,MW2,Central,Michigan,42.2431,-83.1812,11
48127,MW2,Central,Michigan,42.3369,-83.2823,19
48126,MW2,Central,Michigan,42.3283,-83.1854,23
48104,MW2,Central,Michigan,42.2639,-83.7186,23
48073,MW2,Central,Michigan,42.515,-83.1649,4
48066,MW2,Central,Michigan,42.5072,-82.9372,21
43615,MW2,East,Ohio,41.6506,-83.6726,122
43402,MW2,East,Ohio,41.4094,-83.6541,25
62521,MW1,Central,Illinois,39.8093,-88.9245,77
61832,MW1,Central,Illinois,40.1375,-87.6331,7
61821,MW1,Central,Illinois,40.1096,-88.2755,5
61761,MW1,Central,Illinois,40.5267,-88.9573,4
61701,MW1,Central,Illinois,40.4769,-88.9931,27
61604,MW1,Central,Illinois,40.6955,-89.6559,23
47905,MW1,Central,Indiana,40.4228,-86.7646,43
47401,MW1,Central,Indiana,39.0885,-86.4624,31
47374,MW1,Central,Indiana,39.8343,-84.8903,107
47362,MW1,Central,Indiana,39.9325,-85.3688,9
47201,MW1,Central,Indiana,39.1665,-86.0005,114
47150,MW1,Central,Indiana,38.2896,-85.8469,15
46226,MW1,Central,Indiana,39.8387,-86.0514,52
46203,MW1,Central,Indiana,39.7477,-86.098,95
46142,MW1,Central,Indiana,39.6196,-86.1786,19
46060,MW1,Central,Indiana,40.0677,-85.9311,15
45503,MW1,East,Ohio,39.9471,-83.7722,137
45373,MW1,East,Ohio,40.0473,-84.1787,55
45231,MW1,East,Ohio,39.2386,-84.5323,58
45040,MW1,East,Ohio,39.3512,-84.31,7
45014,MW1,East,Ohio,39.3305,-84.5469,75
45011,MW1,East,Ohio,39.4316,-84.5035,13
43302,MW1,East,Ohio,40.6,-83.1306,41
43229,MW1,East,Ohio,40.085,-82.9759,464
43130,MW1,East,Ohio,39.6999,-82.6087,121
43123,MW1,East,Ohio,39.8733,-83.0703,12
43055,MW1,East,Ohio,40.0931,-82.3859,137
43017,MW1,East,Ohio,40.118,-83.1323,51
41042,MW1,South,Kentucky,38.9898,-84.6486,38
40475,MW1,South,Kentucky,37.7636,-84.3059,116
40324,MW1,South,Kentucky,38.2469,-84.5496,35
40214,MW1,South,Kentucky,38.1508,-85.7841,131
42420,SO5,South,Kentucky,37.8288,-87.5287,185
42301,SO5,South,Kentucky,37.7431,-87.2423,5
42104,SO5,South,Kentucky,36.8773,-86.4531,5
42071,SO5,South,Kentucky,36.592,-88.2759,8
38401,SO5,South,Tennessee,35.6229,-87.0217,69
37421,SO5,South,Tennessee,35.0289,-85.153,38
37211,SO5,South,Tennessee,36.0674,-86.7234,114
37167,SO5,South,Tennessee,35.9594,-86.5321,26
37130,SO5,South,Tennessee,35.8768,-86.3299,30
37087,SO5,South,Tennessee,36.247,-86.2712,14
37075,SO5,South,Tennessee,36.3408,-86.6074,22
37064,SO5,South,Tennessee,35.8879,-87.0709,31
37042,SO5,South,Tennessee,36.5682,-87.4256,27
35810,SO5,South,Alabama,34.8016,-86.6028,40
35630,SO5,South,Alabama,34.8182,-87.667,24
35601,SO5,South,Alabama,34.6058,-87.0103,52
72401,SO4,South,Arkansas,35.8774,-90.6592,53
72209,SO4,South,Arkansas,34.676,-92.3496,90
72032,SO4,South,Arkansas,35.0752,-92.3611,2
71901,SO4,South,Arkansas,34.5282,-92.968,15
71854,SO4,South,Arkansas,33.4738,-93.8688,11
71603,SO4,South,Arkansas,34.1325,-92.1037,7
71203,SO4,South,Louisiana,32.5817,-92.0191,51
71111,SO4,South,Louisiana,32.5742,-93.6938,24
70601,SO4,South,Louisiana,30.237,-93.2008,16
70506,SO4,South,Louisiana,30.2066,-92.0757,61
70065,SO4,South,Louisiana,30.0269,-90.2539,4
39503,SO4,South,Mississippi,30.4768,-89.1511,20
39401,SO4,South,Mississippi,31.2242,-89.2707,38
39212,SO4,South,Mississippi,32.2435,-90.2589,138
38671,SO4,South,Mississippi,34.9539,-89.9699,25
38301,SO4,South,Tennessee,35.5916,-88.8527,48
38134,SO4,South,Tennessee,35.1811,-89.8621,8
38109,SO4,South,Tennessee,35.036,-90.1486,116
36608,SO4,South,Alabama,30.6812,-88.3378,52
32503,SO4,South,Florida,30.4604,-87.2139,3
34952,SO3,South,Florida,27.2956,-80.2973,11
34741,SO3,South,Florida,28.3055,-81.426,2
33801,SO3,South,Florida,28.0435,-81.8984,74
33710,SO3,South,Florida,27.7896,-82.7265,53
33614,SO3,South,Florida,28.0053,-82.5071,105
